"YEAR","MONTH","AverageMonthlyPrecip","YearMonth"
2000,1,0.48125,2000-01-01
2000,2,0.508571428571429,2000-02-01
2000,3,0.718,2000-03-01
2000,4,0.830909090909091,2000-04-01
2000,5,0.275555555555556,2000-05-01
2000,6,0.361333333333333,2000-06-01
2000,7,0.362727272727273,2000-07-01
2000,8,0.391111111111111,2000-08-01
2000,9,0.527272727272727,2000-09-01
2000,11,1.197,2000-11-01
2000,12,0.365833333333333,2000-12-01
2001,1,0.773,2001-01-01
2001,2,0.503076923076923,2001-02-01
2001,3,0.725,2001-03-01
2001,4,0.2975,2001-04-01
2001,5,0.302857142857143,2001-05-01
2001,6,0.877692307692308,2001-06-01
2001,7,0.343571428571429,2001-07-01
2001,8,0.324545454545455,2001-08-01
2001,9,1.13875,2001-09-01
2001,10,0.6975,2001-10-01
2001,11,0.968,2001-11-01
2001,12,0.64,2001-12-01
2002,1,0.631538461538461,2002-01-01
2002,2,0.44875,2002-02-01
2002,3,0.762307692307692,2002-03-01
2002,4,0.471818181818182,2002-04-01
2002,5,0.726363636363636,2002-05-01
2002,6,0.338461538461538,2002-06-01
2002,7,0.33,2002-07-01
2002,8,0.70875,2002-08-01
2002,9,1.69454545454545,2002-09-01
2002,10,0.544615384615385,2002-10-01
2002,11,0.603571428571429,2002-11-01
2002,12,0.797692307692308,2002-12-01
2003,1,0.43,2003-01-01
2003,2,0.685,2003-02-01
2003,3,0.51,2003-03-01
2003,4,0.599333333333333,2003-04-01
2003,5,0.79125,2003-05-01
2003,6,0.688235294117647,2003-06-01
2003,7,0.719411764705882,2003-07-01
2003,8,0.551904761904762,2003-08-01
2003,9,0.932222222222222,2003-09-01
2003,10,0.517142857142857,2003-10-01
2003,11,1.282,2003-11-01
2003,12,0.480714285714286,2003-12-01
2004,1,0.477777777777778,2004-01-01
2004,2,0.811111111111111,2004-02-01
2004,3,0.424545454545455,2004-03-01
2004,4,0.65125,2004-04-01
2004,5,0.632307692307692,2004-05-01
2004,6,0.461764705882353,2004-06-01
2004,7,0.596923076923077,2004-07-01
2004,8,0.49,2004-08-01
2004,9,2.69555555555556,2004-09-01
2004,10,0.217,2004-10-01
2004,11,0.973571428571429,2004-11-01
2004,12,1.002,2004-12-01
2005,1,0.54125,2005-01-01
2005,2,0.615833333333333,2005-02-01
2005,3,0.771666666666667,2005-03-01
2005,4,0.727692307692308,2005-04-01
2005,5,0.553333333333333,2005-05-01
2005,6,1.2775,2005-06-01
2005,7,0.7605,2005-07-01
2005,8,1.074,2005-08-01
2005,9,0.5325,2005-09-01
2005,10,1.36666666666667,2005-10-01
2005,11,1.016,2005-11-01
2005,12,0.667272727272727,2005-12-01
2006,1,0.938333333333333,2006-01-01
2006,2,0.342,2006-02-01
2006,3,0.422222222222222,2006-03-01
2006,4,0.541,2006-04-01
2006,5,0.206153846153846,2006-05-01
2006,6,0.651111111111111,2006-06-01
2006,7,0.391818181818182,2006-07-01
2006,8,0.646,2006-08-01
2006,9,0.804615384615385,2006-09-01
2006,10,0.993333333333333,2006-10-01
2006,11,1.07111111111111,2006-11-01
2006,12,1.54125,2006-12-01
2007,1,0.615,2007-01-01
2007,2,0.61,2007-02-01
2007,3,1.156,2007-03-01
2007,4,0.838571428571429,2007-04-01
2007,5,0.386,2007-05-01
2007,6,0.776363636363636,2007-06-01
2007,7,0.7075,2007-07-01
2007,8,0.524285714285714,2007-08-01
2007,9,0.763333333333333,2007-09-01
2007,10,0.88625,2007-10-01
2007,11,0.548888888888889,2007-11-01
2007,12,0.550714285714286,2007-12-01
2008,1,0.701818181818182,2008-01-01
2008,2,0.763636363636364,2008-02-01
2008,3,1.35666666666667,2008-03-01
2008,4,0.51,2008-04-01
2008,5,0.605454545454545,2008-05-01
2008,6,0.27,2008-06-01
2008,7,0.300833333333333,2008-07-01
2008,8,2.09666666666667,2008-08-01
2008,9,0.197777777777778,2008-09-01
2008,10,1.365,2008-10-01
2008,11,0.6525,2008-11-01
2008,12,0.832666666666667,2008-12-01
2009,1,0.542,2009-01-01
2009,2,0.7,2009-02-01
2009,3,0.888181818181818,2009-03-01
2009,4,0.79,2009-04-01
2009,5,0.6625,2009-05-01
2009,6,0.30125,2009-06-01
2009,7,0.505,2009-07-01
2009,8,0.389375,2009-08-01
2009,9,1.72272727272727,2009-09-01
2009,10,1.05307692307692,2009-10-01
2009,11,1.02285714285714,2009-11-01
2009,12,0.768888888888889,2009-12-01
2010,1,0.774545454545455,2010-01-01
2010,2,0.588333333333333,2010-02-01
2010,3,0.588,2010-03-01
2010,4,0.453333333333333,2010-04-01
2010,5,0.511428571428571,2010-05-01
2010,6,0.357692307692308,2010-06-01
2010,7,0.605555555555556,2010-07-01
2010,8,0.457692307692308,2010-08-01
2010,9,0.865,2010-09-01
2010,10,0.934,2010-10-01
2010,11,1.17875,2010-11-01
2010,12,0.4125,2010-12-01
2011,1,0.565,2011-01-01
2011,2,0.594444444444444,2011-02-01
2011,3,1.41636363636364,2011-03-01
2011,4,0.814285714285714,2011-04-01
2011,5,0.95,2011-05-01
2011,6,0.89125,2011-06-01
2011,7,0.317,2011-07-01
2011,8,0.5675,2011-08-01
2011,9,1.32625,2011-09-01
2011,10,0.627142857142857,2011-10-01
2011,11,1.02833333333333,2011-11-01
2011,12,1.16111111111111,2011-12-01
2012,1,0.758461538461539,2012-01-01
2012,2,0.379090909090909,2012-02-01
2012,3,0.490714285714286,2012-03-01
2012,4,1.11142857142857,2012-04-01
2012,5,0.694166666666667,2012-05-01
2012,6,0.578181818181818,2012-06-01
2012,7,0.69,2012-07-01
2012,8,0.516923076923077,2012-08-01
2012,9,0.828888888888889,2012-09-01
2012,10,0.972,2012-10-01
2012,11,0.246,2012-11-01
2012,12,0.553529411764706,2012-12-01
2013,1,1.74384615384615,2013-01-01
2013,2,0.556,2013-02-01
2013,3,0.68,2013-03-01
2013,4,1.00583333333333,2013-04-01
2013,5,0.779090909090909,2013-05-01
2013,6,0.634666666666667,2013-06-01
2013,7,0.967391304347826,2013-07-01
2013,8,0.490909090909091,2013-08-01
2013,9,0.82,2013-09-01
2013,10,0.444285714285714,2013-10-01
2013,11,0.378095238095238,2013-11-01
2013,12,0.821111111111111,2013-12-01
2014,1,0.458,2014-01-01
2014,2,0.424615384615385,2014-02-01
2014,3,0.513,2014-03-01
2014,4,0.925555555555556,2014-04-01
2014,5,0.423333333333333,2014-05-01
2014,6,0.391428571428571,2014-06-01
2014,7,0.917272727272727,2014-07-01
2014,8,0.476,2014-08-01
2014,9,0.299090909090909,2014-09-01
2014,10,1.03833333333333,2014-10-01
2014,11,0.94,2014-11-01
2014,12,0.7825,2014-12-01
