"YEAR","MONTH","DAY","RRG31"
2000,1,3,0.17
2000,1,4,0.55
2000,1,8,0.05
2000,1,9,1.37
2000,1,10,1.41
2000,1,13,0.11
2000,1,16,0.16
2000,1,17,0.05
2000,1,18,0.73
2000,1,19,0.31
2000,1,20,0.16
2000,1,22,1.13
2000,1,23,0.64
2000,1,28,0.06
2000,1,29,0.38
2000,1,30,0.42
2000,2,12,1.03
2000,2,13,1.07
2000,2,14,0.35
2000,2,17,0.04
2000,2,18,0.1
2000,2,19,0.25
2000,2,27,0.72
2000,3,3,0.06
2000,3,4,0.08
2000,3,11,2.34
2000,3,16,1.69
2000,3,17,0.05
2000,3,19,1.27
2000,3,20,1.27
2000,3,27,0.32
2000,3,29,0.05
2000,3,30,0.05
2000,4,2,2.19
2000,4,3,3.55
2000,4,4,0.18
2000,4,8,0.14
2000,4,13,0.64
2000,4,15,0.43
2000,4,21,0.07
2000,4,24,0.89
2000,4,25,0.35
2000,4,27,0.05
2000,4,28,0.65
2000,5,3,0.24
2000,5,4,0.37
2000,5,20,0.2
2000,5,21,0.78
2000,5,23,0.31
2000,5,24,0.1
2000,5,25,0.07
2000,5,27,0.37
2000,5,28,0.04
2000,6,4,0.04
2000,6,5,0.97
2000,6,13,0.61
2000,6,14,0.28
2000,6,15,0.05
2000,6,16,0.66
2000,6,17,0.09
2000,6,18,0.04
2000,6,19,0.62
2000,6,20,0.28
2000,6,22,0.22
2000,6,25,0.46
2000,6,27,0.04
2000,6,28,0.31
2000,6,29,0.75
2000,7,6,0.03
2000,7,11,0.49
2000,7,12,0.14
2000,7,13,0.06
2000,7,19,0.32
2000,7,24,0.35
2000,7,26,0.19
2000,7,27,0.11
2000,7,28,0.63
2000,7,30,1.29
2000,7,31,0.38
2000,8,1,0.48
2000,8,2,1.17
2000,8,3,0.31
2000,8,4,0.09
2000,8,10,0.09
2000,8,11,0.64
2000,8,20,0.47
2000,8,27,0.15
2000,8,31,0.12
2000,9,1,0.38
2000,9,2,0.17
2000,9,6,0.3
2000,9,7,0.27
2000,9,8,0.13
2000,9,20,0.38
2000,9,21,2.06
2000,9,22,0.31
2000,9,23,0.05
2000,9,24,0.27
2000,9,25,1.48
2000,11,4,0.13
2000,11,6,0.06
2000,11,7,0.54
2000,11,8,0.63
2000,11,9,6.99
2000,11,16,0.75
2000,11,17,0.1
2000,11,19,0.36
2000,11,24,0.6
2000,11,25,1.81
2000,12,2,0.05
2000,12,3,0.46
2000,12,11,0.05
2000,12,12,0.1
2000,12,13,0.61
2000,12,14,0.5
2000,12,15,0.04
2000,12,16,2.16
2000,12,17,0.1
2000,12,18,0.03
2000,12,19,0.14
2000,12,27,0.15
2001,1,7,0.1
2001,1,8,0.4
2001,1,11,0.3
2001,1,12,0.62
2001,1,17,0.33
2001,1,18,1.78
2001,1,19,2.67
2001,1,26,0.06
2001,1,29,1.02
2001,1,30,0.45
2001,2,9,0.53
2001,2,10,0.15
2001,2,11,0.08
2001,2,12,0.36
2001,2,13,0.3
2001,2,14,0.44
2001,2,15,0.22
2001,2,16,1.09
2001,2,17,0.06
2001,2,21,0.09
2001,2,22,0.84
2001,2,24,0.35
2001,2,25,2.03
2001,3,3,0.81
2001,3,4,0.54
2001,3,12,1.61
2001,3,13,0.07
2001,3,15,1.35
2001,3,20,0.69
2001,3,21,0.07
2001,3,28,0.03
2001,3,29,1.89
2001,3,30,0.19
2001,4,1,0.02
2001,4,3,0.21
2001,4,12,0.07
2001,4,13,0.82
2001,4,15,0.43
2001,4,24,0.03
2001,4,25,0.05
2001,4,30,0.75
2001,5,1,0.05
2001,5,5,0.06
2001,5,6,0.14
2001,5,7,0.03
2001,5,9,0.22
2001,5,11,0.28
2001,5,20,0.17
2001,5,21,0.27
2001,5,22,0.37
2001,5,24,0.37
2001,5,25,0.77
2001,5,28,0.88
2001,5,29,0.06
2001,5,31,0.57
2001,6,1,1.46
2001,6,6,0.08
2001,6,7,0.11
2001,6,8,0.57
2001,6,14,0.07
2001,6,15,0.45
2001,6,20,0.41
2001,6,22,1.23
2001,6,25,0.13
2001,6,26,3.88
2001,6,27,0.74
2001,6,29,1.28
2001,6,30,1
2001,7,2,0.06
2001,7,3,0.74
2001,7,4,0.87
2001,7,17,0.11
2001,7,19,0.18
2001,7,20,0.19
2001,7,24,0.63
2001,7,25,0.89
2001,7,26,0.18
2001,7,27,0.04
2001,7,28,0.01
2001,7,29,0.59
2001,7,30,0.08
2001,7,31,0.24
2001,8,1,0.06
2001,8,2,0.31
2001,8,3,0.13
2001,8,4,0.3
2001,8,7,0.15
2001,8,12,1.7
2001,8,13,0.39
2001,8,17,0.04
2001,8,25,0.12
2001,8,30,0.05
2001,8,31,0.32
2001,9,1,0.5
2001,9,2,0.32
2001,9,3,0.63
2001,9,4,0.79
2001,9,19,1.67
2001,9,20,1.66
2001,9,23,1.02
2001,9,24,2.52
2001,10,5,0.1
2001,10,6,0.67
2001,10,11,0.15
2001,10,12,1.94
2001,10,13,0.45
2001,10,14,2.03
2001,10,15,0.04
2001,10,25,0.2
2001,11,23,1.86
2001,11,24,1.19
2001,11,25,0.45
2001,11,29,0.02
2001,11,30,1.32
2001,12,8,0.06
2001,12,10,1.43
2001,12,12,0.04
2001,12,13,0.5
2001,12,14,0.52
2001,12,17,0.9
2001,12,23,1.03
2002,1,2,0.08
2002,1,3,0.08
2002,1,6,0.95
2002,1,11,0.13
2002,1,18,0.09
2002,1,19,2.75
2002,1,21,0.69
2002,1,22,0.19
2002,1,23,1.57
2002,1,24,1.42
2002,1,25,0.06
2002,1,30,0.06
2002,1,31,0.14
2002,2,1,0.41
2002,2,3,0.05
2002,2,6,1.82
2002,2,7,0.4
2002,2,10,0.05
2002,2,20,0.69
2002,2,21,0.02
2002,2,26,0.15
2002,3,2,2.05
2002,3,3,0.17
2002,3,9,0.52
2002,3,12,1.23
2002,3,13,0.85
2002,3,16,0.31
2002,3,17,0.57
2002,3,18,0.08
2002,3,20,0.52
2002,3,21,0.4
2002,3,26,0.89
2002,3,30,1.81
2002,3,31,0.51
2002,4,9,1.97
2002,4,10,0.05
2002,4,12,0.34
2002,4,13,0.4
2002,4,14,0.78
2002,4,18,0.73
2002,4,24,0.05
2002,4,25,0.62
2002,4,26,0.06
2002,4,28,0.05
2002,4,30,0.14
2002,5,1,1.18
2002,5,2,0.53
2002,5,3,0.63
2002,5,4,1.93
2002,5,9,0.2
2002,5,10,0.15
2002,5,13,0.86
2002,5,17,1.33
2002,5,18,0.32
2002,5,27,0.24
2002,5,31,0.62
2002,6,4,0.3
2002,6,5,0.25
2002,6,6,0.68
2002,6,13,0.05
2002,6,14,0.05
2002,6,20,0.13
2002,6,22,0.04
2002,6,23,0.47
2002,6,25,1.78
2002,6,26,0.16
2002,6,27,0.1
2002,6,28,0.1
2002,6,29,0.29
2002,7,1,0.12
2002,7,10,0.04
2002,7,11,0.29
2002,7,12,0.24
2002,7,13,1.64
2002,7,14,0.07
2002,7,22,0.05
2002,7,24,0.16
2002,7,25,0.6
2002,7,26,0.09
2002,8,2,0.09
2002,8,15,0.78
2002,8,16,0.9
2002,8,17,0.27
2002,8,19,0.1
2002,8,25,1.94
2002,8,26,1.54
2002,8,29,0.05
2002,9,13,0.43
2002,9,14,2.72
2002,9,15,2.31
2002,9,16,0.03
2002,9,18,0.19
2002,9,20,0.88
2002,9,21,2.26
2002,9,22,0.67
2002,9,25,3.04
2002,9,26,3.89
2002,9,27,2.22
2002,10,4,0.33
2002,10,5,0.31
2002,10,10,1.26
2002,10,11,0.31
2002,10,14,0.04
2002,10,15,2.48
2002,10,16,0.05
2002,10,20,0.19
2002,10,25,0.46
2002,10,27,0.13
2002,10,28,1
2002,10,29,0.44
2002,10,30,0.08
2002,11,3,0.11
2002,11,4,0.07
2002,11,5,1.29
2002,11,6,0.18
2002,11,9,0.34
2002,11,10,0.68
2002,11,11,1.78
2002,11,12,0.54
2002,11,15,1.05
2002,11,16,0.83
2002,11,19,0.07
2002,11,20,0.42
2002,11,21,0.89
2002,11,26,0.2
2002,12,4,1.56
2002,12,5,0.62
2002,12,10,0.94
2002,12,11,0.14
2002,12,13,1.35
2002,12,14,0.03
2002,12,19,1.65
2002,12,20,0.36
2002,12,22,0.08
2002,12,23,0.01
2002,12,24,2.38
2002,12,25,0.19
2002,12,31,1.06
