"YEAR","MONTH","AverageMonthlyPrecip","YearMonth"
2000,1,0.476666666666667,2000-01-01
2000,2,0.55,2000-02-01
2000,3,0.727777777777778,2000-03-01
2000,4,0.719166666666667,2000-04-01
2000,5,0.25,2000-05-01
2000,6,0.4,2000-06-01
2000,7,0.3775,2000-07-01
2000,8,0.241,2000-08-01
2000,9,0.458181818181818,2000-09-01
2000,11,1.11,2000-11-01
2000,12,0.351818181818182,2000-12-01
2001,1,0.5925,2001-01-01
2001,2,0.473846153846154,2001-02-01
2001,3,0.699,2001-03-01
2001,4,0.31,2001-04-01
2001,5,0.326666666666667,2001-05-01
2001,6,0.769230769230769,2001-06-01
2001,7,0.2375,2001-07-01
2001,8,0.260714285714286,2001-08-01
2001,9,0.9025,2001-09-01
2001,10,0.605,2001-10-01
2001,11,0.77,2001-11-01
2001,12,0.577142857142857,2001-12-01
2002,1,0.655,2002-01-01
2002,2,0.407142857142857,2002-02-01
2002,3,0.66,2002-03-01
2002,4,0.291818181818182,2002-04-01
2002,5,0.7,2002-05-01
2002,6,0.366666666666667,2002-06-01
2002,7,0.461,2002-07-01
2002,8,0.5725,2002-08-01
2002,9,1.492,2002-09-01
2002,10,0.458461538461538,2002-10-01
2002,11,0.48,2002-11-01
2002,12,0.7325,2002-12-01
2003,1,0.351111111111111,2003-01-01
2003,2,0.612,2003-02-01
2003,3,0.506666666666667,2003-03-01
2003,4,0.475,2003-04-01
2003,5,0.89,2003-05-01
2003,6,0.602307692307692,2003-06-01
2003,7,0.7025,2003-07-01
2003,8,0.414705882352941,2003-08-01
2003,9,0.867777777777778,2003-09-01
2003,10,0.545,2003-10-01
2003,11,1.28222222222222,2003-11-01
2003,12,0.404285714285714,2003-12-01
2004,1,0.565714285714286,2004-01-01
2004,2,0.617777777777778,2004-02-01
2004,3,0.368181818181818,2004-03-01
2004,4,0.57375,2004-04-01
2004,5,0.723636363636364,2004-05-01
2004,6,0.392352941176471,2004-06-01
2004,7,0.504166666666667,2004-07-01
2004,8,0.431111111111111,2004-08-01
2004,9,2.28888888888889,2004-09-01
2004,10,0.262857142857143,2004-10-01
2004,11,1.07090909090909,2004-11-01
2004,12,0.965555555555556,2004-12-01
2005,1,0.562857142857143,2005-01-01
2005,2,0.550833333333333,2005-02-01
