"site","Year","YearDay","smois30","Date"
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.35,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.33,2000-01-21
1,2000,21,0.33,2000-01-21
1,2000,21,0.33,2000-01-21
1,2000,21,0.33,2000-01-21
1,2000,21,0.33,2000-01-21
1,2000,21,0.33,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,21,0.34,2000-01-21
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.33,2000-01-22
1,2000,22,0.33,2000-01-22
1,2000,22,0.33,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.34,2000-01-22
1,2000,22,0.33,2000-01-22
1,2000,22,0.33,2000-01-22
1,2000,22,0.33,2000-01-22
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.33,2000-01-23
1,2000,23,0.34,2000-01-23
1,2000,23,0.34,2000-01-23
1,2000,23,0.34,2000-01-23
1,2000,23,0.35,2000-01-23
1,2000,23,0.35,2000-01-23
1,2000,23,0.35,2000-01-23
1,2000,23,0.36,2000-01-23
1,2000,23,0.36,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,23,0.37,2000-01-23
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.37,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,24,0.36,2000-01-24
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.35,2000-01-25
1,2000,25,0.35,2000-01-25
1,2000,25,0.36,2000-01-25
1,2000,25,0.38,2000-01-25
1,2000,25,0.39,2000-01-25
1,2000,25,0.39,2000-01-25
1,2000,25,0.39,2000-01-25
1,2000,25,0.39,2000-01-25
1,2000,25,0.38,2000-01-25
1,2000,25,0.38,2000-01-25
1,2000,25,0.38,2000-01-25
1,2000,25,0.38,2000-01-25
1,2000,25,0.38,2000-01-25
1,2000,26,0.38,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.35,2000-01-26
1,2000,26,0.35,2000-01-26
1,2000,26,0.35,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.37,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,26,0.36,2000-01-26
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.34,2000-01-27
1,2000,27,0.34,2000-01-27
1,2000,27,0.34,2000-01-27
1,2000,27,0.34,2000-01-27
1,2000,27,0.34,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.35,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,27,0.36,2000-01-27
1,2000,28,0.36,2000-01-28
1,2000,28,0.36,2000-01-28
1,2000,28,0.36,2000-01-28
1,2000,28,0.36,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.34,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,28,0.35,2000-01-28
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.35,2000-01-29
1,2000,29,0.36,2000-01-29
1,2000,29,0.36,2000-01-29
1,2000,29,0.37,2000-01-29
1,2000,29,0.37,2000-01-29
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.38,2000-01-30
1,2000,30,0.38,2000-01-30
1,2000,30,0.38,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,30,0.37,2000-01-30
1,2000,31,0.37,2000-01-31
1,2000,31,0.37,2000-01-31
1,2000,31,0.37,2000-01-31
1,2000,31,0.37,2000-01-31
1,2000,31,0.37,2000-01-31
1,2000,31,0.37,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.35,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,31,0.36,2000-01-31
1,2000,32,0.36,2000-02-01
1,2000,32,0.36,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.33,2000-02-01
1,2000,32,0.33,2000-02-01
1,2000,32,0.33,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.34,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,32,0.35,2000-02-01
1,2000,33,0.35,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.32,2000-02-02
1,2000,33,0.32,2000-02-02
1,2000,33,0.32,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.33,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,33,0.34,2000-02-02
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.34,2000-02-03
1,2000,34,0.33,2000-02-03
1,2000,34,0.33,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.31,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.33,2000-02-03
1,2000,34,0.33,2000-02-03
1,2000,34,0.33,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,34,0.32,2000-02-03
1,2000,35,0.32,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.32,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,35,0.33,2000-02-04
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.33,2000-02-05
1,2000,36,0.33,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.31,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,36,0.32,2000-02-05
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.32,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.3,2000-02-06
1,2000,37,0.3,2000-02-06
1,2000,37,0.3,2000-02-06
1,2000,37,0.3,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,37,0.31,2000-02-06
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.3,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,38,0.31,2000-02-07
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.29,2000-02-08
1,2000,39,0.29,2000-02-08
1,2000,39,0.29,2000-02-08
1,2000,39,0.29,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.3,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,39,0.31,2000-02-08
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.31,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.29,2000-02-09
1,2000,40,0.29,2000-02-09
1,2000,40,0.29,2000-02-09
1,2000,40,0.29,2000-02-09
1,2000,40,0.29,2000-02-09
1,2000,40,0.29,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,40,0.3,2000-02-09
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.3,2000-02-10
1,2000,41,0.29,2000-02-10
1,2000,41,0.29,2000-02-10
