"Year","Month","AverageMonthlySmois30","YearMonth"
2000,5,0.191388888888889,2000-05-01
2000,6,0.182666666666667,2000-06-01
2000,7,0.135860215053763,2000-07-01
2000,8,0.16383064516129,2000-08-01
2000,9,0.138638888888889,2000-09-01
2000,10,0.111025641025641,2000-10-01
2000,11,0.238222222222222,2000-11-01
2000,12,0.295685483870968,2000-12-01
2001,1,0.30130376344086,2001-01-01
2001,2,0.308422619047619,2001-02-01
2001,3,0.312903225806452,2001-03-01
2001,4,0.268833333333333,2001-04-01
2001,5,0.188733153638814,2001-05-01
2001,6,0.207125,2001-06-01
2001,7,0.185443548387097,2001-07-01
2001,8,0.180241935483871,2001-08-01
2001,9,0.199069444444444,2001-09-01
2001,10,0.216814516129032,2001-10-01
2001,11,0.207763888888889,2001-11-01
2001,12,0.292903225806452,2001-12-01
2002,1,0.300174731182796,2002-01-01
2002,2,0.292886904761905,2002-02-01
2002,3,0.30885752688172,2002-03-01
2002,4,0.28675,2002-04-01
2002,5,0.279408602150538,2002-05-01
2002,6,0.175777777777778,2002-06-01
2002,7,0.155322580645161,2002-07-01
2002,8,0.140134408602151,2002-08-01
2002,9,0.221513888888889,2002-09-01
2002,10,0.27508064516129,2002-10-01
2002,11,0.314222222222222,2002-11-01
2002,12,0.325981182795699,2002-12-01
2003,1,0.307824858757062,2003-01-01
2003,2,0.338660714285714,2003-02-01
2003,3,0.318991935483871,2003-03-01
2003,4,0.320902777777778,2003-04-01
2003,5,0.307204301075269,2003-05-01
2003,6,0.274402777777778,2003-06-01
2003,7,0.273010752688172,2003-07-01
2003,8,0.224569892473118,2003-08-01
2003,9,0.251222222222222,2003-09-01
2003,10,0.234610215053763,2003-10-01
2003,11,0.315805555555556,2003-11-01
2003,12,0.340672043010753,2003-12-01
2004,1,0.329126344086022,2004-01-01
2004,2,0.334612068965517,2004-02-01
2004,3,0.317204301075269,2004-03-01
2004,4,0.302166666666667,2004-04-01
2004,5,0.290806451612903,2004-05-01
2004,6,0.275486111111111,2004-06-01
2004,7,0.224247311827957,2004-07-01
2004,8,0.209986559139785,2004-08-01
2004,9,0.259569444444444,2004-09-01
2004,10,0.235591397849462,2004-10-01
2004,11,0.319513888888889,2004-11-01
2004,12,0.336666666666667,2004-12-01
2005,1,0.318924731182796,2005-01-01
2005,2,0.339598214285714,2005-02-01
2005,3,0.338817204301075,2005-03-01
2005,4,0.332513888888889,2005-04-01
2005,5,0.298387096774194,2005-05-01
2005,6,0.318013888888889,2005-06-01
2005,7,0.325090909090909,2005-07-01
2005,8,0.310327552986513,2005-08-01
2005,9,0.198666666666667,2005-09-01
2005,10,0.190161290322581,2005-10-01
2005,11,0.227430555555556,2005-11-01
2005,12,0.335147849462366,2005-12-01
2006,1,0.333458950201884,2006-01-01
2006,2,0.323988095238095,2006-02-01
2006,3,0.305443548387097,2006-03-01
2006,4,0.305027777777778,2006-04-01
2006,5,0.214569892473118,2006-05-01
2006,6,0.148041666666667,2006-06-01
2006,7,0.192513440860215,2006-07-01
2006,8,0.11630376344086,2006-08-01
2006,9,0.279361111111111,2006-09-01
2006,10,0.261384408602151,2006-10-01
2006,11,0.301208333333333,2006-11-01
2006,12,0.307594086021505,2006-12-01
2007,1,0.318319892473118,2007-01-01
2007,2,0.313675595238095,2007-02-01
2007,3,0.300067204301075,2007-03-01
2007,4,0.304069444444444,2007-04-01
2007,5,0.208884408602151,2007-05-01
2007,6,0.198652777777778,2007-06-01
2007,7,0.206545698924731,2007-07-01
2007,8,0.152432795698925,2007-08-01
2007,9,0.148347222222222,2007-09-01
2007,10,0.150752688172043,2007-10-01
2007,11,0.242138888888889,2007-11-01
2007,12,0.296948924731183,2007-12-01
2008,1,0.316370967741935,2008-01-01
2008,2,0.319612068965517,2008-02-01
2008,3,0.313575268817204,2008-03-01
2008,4,0.296347222222222,2008-04-01
2008,5,0.279905913978495,2008-05-01
2008,6,0.156111111111111,2008-06-01
2008,7,0.121021505376344,2008-07-01
2008,8,0.14127688172043,2008-08-01
2008,9,0.148777777777778,2008-09-01
2008,10,0.161317204301075,2008-10-01
2008,11,0.170077519379845,2008-11-01
2009,1,0.30739247311828,2009-01-01
2009,2,0.308199404761905,2009-02-01
2009,3,0.314771505376344,2009-03-01
2009,4,0.312388888888889,2009-04-01
2009,5,0.309838709677419,2009-05-01
2009,6,0.195708333333333,2009-06-01
2009,7,0.172701612903226,2009-07-01
2009,8,0.146638054363376,2009-08-01
2009,9,0.236819444444444,2009-09-01
2009,10,0.295927419354839,2009-10-01
2009,11,0.313138888888889,2009-11-01
2009,12,0.34130376344086,2009-12-01
2010,1,0.331236559139785,2010-01-01
2010,2,0.342127976190476,2010-02-01
