"Year","Month","AverageMonthlySmois30","YearMonth"
2000,1,0.333787878787879,2000-01-01
2000,2,0.335775862068966,2000-02-01
2000,3,0.333561827956989,2000-03-01
2000,4,0.335625,2000-04-01
2000,5,0.293400537634409,2000-05-01
2000,6,0.289027777777778,2000-06-01
2000,7,0.237970430107527,2000-07-01
2000,8,0.22866935483871,2000-08-01
2000,9,0.185263888888889,2000-09-01
2000,10,0.175208613728129,2000-10-01
2000,11,0.275041666666667,2000-11-01
2000,12,0.316088709677419,2000-12-01
2001,1,0.324690860215054,2001-01-01
2001,2,0.329910714285714,2001-02-01
2001,3,0.333185483870968,2001-03-01
2001,4,0.316722222222222,2001-04-01
2001,5,0.290551075268817,2001-05-01
2001,6,0.308847222222222,2001-06-01
2001,7,0.275940860215054,2001-07-01
2001,8,0.258319892473118,2001-08-01
2001,9,0.305277777777778,2001-09-01
2001,10,0.326599462365591,2001-10-01
2001,11,0.330805555555556,2001-11-01
2001,12,0.373373655913978,2001-12-01
2002,1,0.376034946236559,2002-01-01
2002,2,0.370104166666667,2002-02-01
2002,3,0.391774193548387,2002-03-01
2002,4,0.383125,2002-04-01
2002,5,0.37614247311828,2002-05-01
2002,6,0.29075,2002-06-01
2002,7,0.236868279569892,2002-07-01
2002,8,0.199086021505376,2002-08-01
2002,9,0.268069444444444,2002-09-01
2002,10,0.337567204301075,2002-10-01
2002,11,0.372069444444444,2002-11-01
2002,12,0.379166666666667,2002-12-01
2003,1,0.370443548387097,2003-01-01
2003,2,0.380044642857143,2003-02-01
2003,3,0.366263440860215,2003-03-01
2003,4,0.349583333333333,2003-04-01
2003,5,0.340268817204301,2003-05-01
2003,6,0.310888888888889,2003-06-01
2003,7,0.320645161290323,2003-07-01
2003,8,0.29744623655914,2003-08-01
2003,9,0.280291666666667,2003-09-01
2003,10,0.272043010752688,2003-10-01
2003,11,0.335041666666667,2003-11-01
2003,12,0.343077956989247,2003-12-01
2004,1,0.338346774193548,2004-01-01
2004,2,0.345258620689655,2004-02-01
2004,3,0.338682795698925,2004-03-01
2004,4,0.331277777777778,2004-04-01
2004,5,0.321384408602151,2004-05-01
2004,6,0.320708333333333,2004-06-01
2004,7,0.281115591397849,2004-07-01
2004,8,0.285094086021505,2004-08-01
2004,9,0.312986111111111,2004-09-01
2004,10,0.29630376344086,2004-10-01
2004,11,0.339819444444444,2004-11-01
2004,12,0.343145161290323,2004-12-01
2005,1,0.330577956989247,2005-01-01
2005,2,0.343303571428571,2005-02-01
2005,3,0.345577956989247,2005-03-01
2005,4,0.344236111111111,2005-04-01
2005,5,0.317755376344086,2005-05-01
2005,6,0.322069444444444,2005-06-01
2005,7,0.307215189873418,2005-07-01
2005,8,0.308319892473118,2005-08-01
2005,9,0.219444444444444,2005-09-01
2005,10,0.231612903225806,2005-10-01
2005,11,0.254430555555556,2005-11-01
2005,12,0.316397849462366,2005-12-01
2006,1,0.317200538358008,2006-01-01
2006,2,0.312425595238095,2006-02-01
2006,3,0.30372311827957,2006-03-01
2006,4,0.301597222222222,2006-04-01
2006,5,0.25241935483871,2006-05-01
2006,6,0.194944444444444,2006-06-01
2006,7,0.170698924731183,2006-07-01
2006,8,0.121706989247312,2006-08-01
2006,9,0.247944444444444,2006-09-01
2006,10,0.252298387096774,2006-10-01
2006,11,0.288694444444444,2006-11-01
2006,12,0.292163978494624,2006-12-01
2007,1,0.299153225806452,2007-01-01
2007,2,0.288125,2007-02-01
2007,3,0.288279569892473,2007-03-01
2007,4,0.294305555555556,2007-04-01
2007,5,0.238131720430108,2007-05-01
2007,6,0.218305555555556,2007-06-01
2007,7,0.200201612903226,2007-07-01
2007,8,0.170295698924731,2007-08-01
2007,9,0.114375,2007-09-01
2007,10,0.141787634408602,2007-10-01
2007,11,0.231916666666667,2007-11-01
2007,12,0.259556451612903,2007-12-01
2008,1,0.265524193548387,2008-01-01
2008,2,0.269439655172414,2008-02-01
2008,3,0.268870967741935,2008-03-01
2008,4,0.2635,2008-04-01
2008,5,0.246895161290323,2008-05-01
2008,6,0.166,2008-06-01
2008,7,0.125551075268817,2008-07-01
2008,8,0.137594086021505,2008-08-01
2008,9,0.160277777777778,2008-09-01
2008,10,0.170430107526882,2008-10-01
2008,11,0.209538461538462,2008-11-01
2009,1,0.262862903225806,2009-01-01
2009,2,0.261220238095238,2009-02-01
2009,3,0.265134408602151,2009-03-01
2009,4,0.265666666666667,2009-04-01
2009,5,0.271451612903226,2009-05-01
2009,6,0.212569444444444,2009-06-01
2009,7,0.194327956989247,2009-07-01
2009,8,0.180819892473118,2009-08-01
2009,9,0.221583333333333,2009-09-01
2009,10,0.27258064516129,2009-10-01
2009,11,0.268736111111111,2009-11-01
2009,12,0.275873655913978,2009-12-01
2010,1,0.256115591397849,2010-01-01
2010,2,0.265907738095238,2010-02-01
2010,3,0.257661290322581,2010-03-01
2010,4,0.234861111111111,2010-04-01
2010,5,0.225147849462366,2010-05-01
2010,6,0.204375,2010-06-01
2010,7,0.120443548387097,2010-07-01
2010,8,0.11744623655914,2010-08-01
2010,9,0.114416666666667,2010-09-01
2010,10,0.176411290322581,2010-10-01
2010,11,0.226291866028708,2010-11-01
2010,12,0.247851099830795,2010-12-01
2011,1,0.254086021505376,2011-01-01
2011,2,0.249821428571429,2011-02-01
2011,3,0.270833333333333,2011-03-01
2011,4,0.266569444444444,2011-04-01
2011,5,0.234354838709677,2011-05-01
2011,6,0.232058823529412,2011-06-01
2011,7,0.159961089494163,2011-07-01
2011,8,0.114650537634409,2011-08-01
2011,9,0.192597222222222,2011-09-01
2011,10,0.191989247311828,2011-10-01
2011,11,0.256875,2011-11-01
2011,12,0.27633064516129,2011-12-01
2012,1,0.277943548387097,2012-01-01
2012,2,0.274913793103448,2012-02-01
2012,3,0.275094086021505,2012-03-01
2012,4,0.277888888888889,2012-04-01
2012,5,0.253306451612903,2012-05-01
2012,6,0.247652777777778,2012-06-01
2012,7,0.210295698924731,2012-07-01
2012,8,0.248969258589512,2012-08-01
2012,10,0.247317880794702,2012-10-01
2012,11,0.240236111111111,2012-11-01
2012,12,0.275067750677507,2012-12-01
2013,1,0.30009756097561,2013-01-01
2013,2,0.299813780260708,2013-02-01
2013,3,0.297309782608696,2013-03-01
2013,4,0.298027777777778,2013-04-01
2013,5,0.276102150537634,2013-05-01
2013,6,0.31725,2013-06-01
2013,7,0.575339366515837,2013-07-01
