YEAR,MONTH,DAY,RRG31
1958,11,1,1.54
1958,11,6,0.06
1958,11,8,0.2
1958,11,9,0.03
1958,11,15,0.7
1958,11,16,0.23
1958,11,25,0.02
1958,11,26,0.08
1958,11,28,1.72
1958,12,2,0.05
1958,12,3,0.33
1958,12,11,0.02
1958,12,13,0.16
1958,12,14,0.18
1958,12,23,0.17
1958,12,24,0.05
1958,12,27,2.43
1958,12,28,0.74
1958,12,31,0.07
1959,1,1,1.24
1959,1,7,0.03
1959,1,8,0.55
1959,1,13,0.06
1959,1,14,0.02
1959,1,15,1.63
1959,1,16,0.03
1959,1,20,0.1
1959,1,21,5.08
1959,1,30,0.07
1959,2,3,0.77
1959,2,4,0.74
1959,2,8,0.08
1959,2,9,0.05
1959,2,10,0.82
1959,2,12,2.04
1959,2,13,0.63
1959,2,14,0.16
1959,2,15,0.03
1959,2,17,0.06
1959,2,18,0.24
1959,2,22,0.05
1959,2,23,0.44
1959,3,1,0.13
1959,3,3,0.09
1959,3,5,2.61
1959,3,6,0.24
1959,3,11,0.97
1959,3,12,0.1
1959,3,14,0.12
1959,3,15,1.25
1959,3,20,0.05
1959,3,21,0.09
1959,3,26,1.85
1959,3,27,0.41
1959,3,29,0.91
1959,3,30,0.04
1959,4,1,0.58
1959,4,2,0.22
1959,4,3,0.23
1959,4,10,0.13
1959,4,11,1.11
1959,4,12,3.41
1959,4,13,0.05
1959,4,18,1.62
1959,4,19,1.05
1959,4,21,0.08
1959,4,22,0.31
1959,4,28,0.55
1959,5,1,0.1
1959,5,2,0.67
1959,5,9,0.11
1959,5,10,0.13
1959,5,11,0.01
1959,5,12,0.13
1959,5,13,0.82
1959,5,18,0.04
1959,5,19,1.29
1959,5,20,3.58
1959,5,21,0.38
1959,5,22,0.16
1959,5,25,3.21
1959,5,26,1.28
1959,5,27,0.05
1959,5,28,0.26
1959,5,30,0.74
1959,5,31,2.06
1959,6,1,0.91
1959,6,2,0.03
1959,6,3,0.05
1959,6,5,0.11
1959,6,6,0.62
1959,6,24,0.68
1959,6,25,0.09
1959,7,1,0.2
1959,7,6,0.14
1959,7,12,0.04
1959,7,13,0.73
1959,7,14,0.81
1959,7,15,0.04
1959,7,17,0.52
1959,7,18,1.3
1959,7,19,0.28
1959,7,20,0.23
1959,7,21,2.11
1959,7,22,1.01
1959,7,23,0.08
1959,7,25,0.03
1959,7,26,0.63
1959,7,27,0.53
1959,8,4,0.06
1959,8,6,0.12
1959,8,11,0.47
1959,8,12,0.41
1959,8,15,0.75
1959,8,17,0.03
1959,8,19,0.02
1959,8,20,0.14
1959,8,23,0.96
1959,8,27,0.56
1959,8,28,0.01
1959,8,29,0.19
1959,8,30,2.48
1959,8,31,0.35
1959,9,1,0.75
1959,9,3,0.99
1959,9,4,0.08
1959,9,6,3.38
1959,9,7,1.68
1959,9,8,0.92
1959,9,9,0.07
1959,9,10,0.02
1959,9,11,0.37
1959,9,12,0.03
1959,9,15,0.43
1959,9,19,0.11
1959,9,27,0.56
1959,9,29,0.18
1959,9,30,0.04
1959,10,6,2.05
1959,10,7,0.99
1959,10,8,2.8
1959,10,9,0.53
1959,10,10,1.05
1959,10,11,0.09
1959,10,13,1.04
1959,10,14,0.96
1959,10,17,0.6
1959,10,21,0.21
1959,10,22,0.07
1959,10,23,1.05
1959,10,24,0.42
1959,10,25,0.18
1959,10,27,0.21
1959,10,29,1.4
1959,10,30,0.82
1959,10,31,0.1
1959,11,5,1.52
1959,11,6,0.04
1959,11,14,0.14
1959,11,15,0.23
1959,11,16,0.61
1959,11,17,0.02
1959,11,21,0.18
1959,11,23,0.18
1959,11,24,0.81
1959,11,27,1.33
1959,12,2,0.41
1959,12,3,0.03
1959,12,6,0.43
1959,12,7,0.03
1959,12,11,0.7
1959,12,12,1.85
1959,12,17,0.69
1959,12,18,2.25
1959,12,24,0.05
1959,12,25,0.05
1959,12,27,0.21
1959,12,28,1.49
1960,1,1,0.02
1960,1,2,1.13
1960,1,3,0.5
1960,1,5,0.29
1960,1,6,0.96
1960,1,7,0.46
1960,1,13,0.12
1960,1,14,0.16
1960,1,15,0.84
1960,1,17,1.22
1960,1,18,0.13
1960,1,27,1.25
1960,1,29,0.59
1960,1,30,0.71
1960,1,31,0.12
1960,2,4,0.62
1960,2,5,2.36
1960,2,6,0.14
1960,2,9,0.05
1960,2,10,2.87
1960,2,13,1.08
1960,2,18,2.02
1960,2,21,0.22
1960,2,24,0.4
